,id,bigrams
0,2384,"[('public', 'transport'), ('block', 'away'), ('went', 'above')]"
1,4505,"[(""stone's"", 'throw'), ('Little', 'Village'), ('record', 'player')]"
2,6715,"[('URL', 'HIDDEN'), ('twin', 'beds'), ('year', 'old')]"
3,7126,"[('frying', 'pans'), ('cell', 'phone'), ('Blue', 'Line')]"
4,9811,"[('Lincoln', 'Park'), ('walking', 'distance'), ('Great', 'location')]"
5,10610,"[('I', 'did'), ('we', 'were'), ('close', 'to')]"
6,12068,"[('Gold', 'Coast'), ('Old', 'Town'), ('red', 'line')]"
7,12140,"[('Lincoln', 'Park')]"
8,24833,"[('DePaul', 'University'), ('long', 'term'), ('Lincoln', 'Park')]"
9,25879,"[('timely', 'manner'), ('last', 'minute'), ('queen', 'bed')]"
10,28749,"[(""don't"", 'mind'), ('Wicker', 'Park'), ('blue', 'line')]"
11,32346,[]
12,37738,"[('THANK', 'YOU'), ('Hop', 'Leaf'), ('five', 'star')]"
13,39742,"[('automated', 'posting'), ('History', 'Museum'), ('Navy', 'Pier')]"
14,41422,"[('William', 'Laurence'), ('highly', 'recommend'), ('mate', 'William')]"
15,41425,"[('The', 'location'), ('make', 'our'), ('location', 'is')]"
16,44020,"[('automated', 'posting'), ('water', 'pressure'), ('exactly', 'what')]"
17,71930,"[('Wicker', 'Park'), ('laid', 'back'), ('right', 'across')]"
18,79101,"[('Highly', 'recommended'), ('Green', 'Mill'), ('My', 'husband')]"
19,80640,"[('Highly', 'recommended'), ('Blue', 'Line'), ('Longman', 'Eagle')]"
20,84042,"[('highly', 'recommend'), ('recommend', 'staying'), (""Michael's"", 'place')]"
21,95544,"[('walking', 'distance'), ('My', 'wife'), ('right', 'across')]"
22,110705,"[('Green', 'Mill'), ('``', ""L''""), ('Highly', 'recommended')]"
23,126280,"[('Red', 'Line'), ('public', 'transportation'), ('red', 'line')]"
24,133262,"[('walking', 'distance'), ('no', 'problem'), ('are', 'accurate')]"
25,145659,"[('a', 'great'), ('in', 'Chicago'), ('I', 'was')]"
26,145690,"[('walking', 'distance'), ('stay', 'here'), ('we', 'needed')]"
27,149873,"[('automated', 'posting'), ('jacuzzi', 'tub'), ('Mr.', 'Domanski')]"
28,165952,"[('brown', 'line'), ('Whole', 'Foods'), ('two', 'couples')]"
29,166667,"[('short', 'walk'), ('Would', 'definitely'), ('Thank', 'you')]"
30,166706,"[('short', 'walk'), ('here', 'again'), ('main', 'floor')]"
31,172616,"[('Wicker', 'Park'), ('any', 'questions'), ('highly', 'recommend')]"
32,175511,"[('The', 'place'), ('in', 'the'), ('was', 'a')]"
33,184764,"[('Wrigley', 'Field'), ('minute', 'drive'), ('floor', 'plan')]"
34,189821,"[('movie', 'theater'), ('hair', 'dryer'), ('top', 'notch')]"
35,192652,"[('business', 'cards'), ('``', ""L''""), ('wicker', 'park')]"
36,198135,"[('Damen', 'Dwelling'), ('Darling', 'Damen'), ('Highly', 'recommended')]"
